total_events,login_attempts,failed_login_attempts,successful_login_attempts,command_count,unique_command_count,failed_login_ratio,attempts_per_minute,commands_per_minute,unique_username_count,unique_source_ip_count,session_duration_seconds,events_per_minute,repeated_command_count,suspicious_command_indicator,label
1,1,0,1,0,0,0.0,60.0,0.0,1,1,0.0,60.0,0,0,normal
3,2,0,2,1,1,0.0,2.352941,1.176471,1,1,51.0,3.529412,0,0,normal
5,3,0,3,2,2,0.0,3.0,2.0,1,1,60.0,5.0,0,0,normal
1,1,0,1,0,0,0.0,60.0,0.0,1,1,0.0,60.0,0,0,normal
3,2,0,2,1,1,0.0,2.222222,1.111111,1,1,54.0,3.333333,0,0,normal
5,3,0,3,2,2,0.0,2.903226,1.935484,1,1,62.0,4.83871,0,0,normal
1,1,0,1,0,0,0.0,60.0,0.0,1,1,0.0,60.0,0,0,normal
3,2,0,2,1,1,0.0,2.105263,1.052632,1,1,57.0,3.157895,0,0,normal
5,3,0,3,2,2,0.0,2.8125,1.875,1,1,64.0,4.6875,0,0,normal
1,1,0,1,0,0,0.0,60.0,0.0,1,1,0.0,60.0,0,0,normal
3,2,0,2,1,1,0.0,2.0,1.0,1,1,60.0,3.0,0,0,normal
5,3,0,3,2,2,0.0,2.571429,1.714286,1,1,70.0,4.285714,0,0,normal
1,1,0,1,0,0,0.0,60.0,0.0,1,1,0.0,60.0,0,0,normal
3,2,0,2,1,1,0.0,1.904762,0.952381,1,1,63.0,2.857143,0,0,normal
5,3,0,3,2,2,0.0,2.5,1.666667,1,1,72.0,4.166667,0,0,normal
1,1,0,1,0,0,0.0,60.0,0.0,1,1,0.0,60.0,0,0,normal
3,2,0,2,1,1,0.0,1.818182,0.909091,1,1,66.0,2.727273,0,0,normal
5,3,0,3,2,2,0.0,2.432432,1.621622,1,1,74.0,4.054054,0,0,normal
1,1,0,1,0,0,0.0,60.0,0.0,1,1,0.0,60.0,0,0,normal
3,2,0,2,1,1,0.0,1.73913,0.869565,1,1,69.0,2.608696,0,0,normal
5,3,0,3,2,2,0.0,2.368421,1.578947,1,1,76.0,3.947368,0,0,normal
1,1,0,1,0,0,0.0,60.0,0.0,1,1,0.0,60.0,0,0,normal
3,2,0,2,1,1,0.0,1.666667,0.833333,1,1,72.0,2.5,0,0,normal
5,3,0,3,2,2,0.0,2.195122,1.463415,1,1,82.0,3.658537,0,0,normal
1,1,0,1,0,0,0.0,60.0,0.0,1,1,0.0,60.0,0,0,normal
3,2,0,2,1,1,0.0,1.6,0.8,1,1,75.0,2.4,0,0,normal
5,3,0,3,2,2,0.0,2.142857,1.428571,1,1,84.0,3.571429,0,0,normal
1,1,0,1,0,0,0.0,60.0,0.0,1,1,0.0,60.0,0,0,normal
3,2,0,2,1,1,0.0,1.538462,0.769231,1,1,78.0,2.307692,0,0,normal
5,3,0,3,2,2,0.0,2.093023,1.395349,1,1,86.0,3.488372,0,0,normal
7,7,6,1,0,0,0.857143,12.727273,0.0,1,1,33.0,12.727273,0,0,suspicious
7,7,7,0,0,0,1.0,17.5,0.0,2,1,24.0,17.5,0,0,suspicious
8,8,8,0,0,0,1.0,13.714286,0.0,3,1,35.0,13.714286,0,0,suspicious
9,9,9,0,0,0,1.0,11.25,0.0,1,1,48.0,11.25,0,0,suspicious
11,11,10,1,0,0,0.909091,12.45283,0.0,2,1,53.0,12.45283,0,0,suspicious
11,11,11,0,0,0,1.0,16.5,0.0,3,1,40.0,16.5,0,0,suspicious
12,12,12,0,0,0,1.0,13.090909,0.0,1,1,55.0,13.090909,0,0,suspicious
13,13,13,0,0,0,1.0,10.833333,0.0,2,1,72.0,10.833333,0,0,suspicious
15,15,14,1,0,0,0.933333,12.328767,0.0,3,1,73.0,12.328767,0,0,suspicious
15,15,15,0,0,0,1.0,16.071429,0.0,1,1,56.0,16.071429,0,0,suspicious
16,16,16,0,0,0,1.0,12.8,0.0,2,1,75.0,12.8,0,0,suspicious
6,6,6,0,0,0,1.0,12.0,0.0,3,1,30.0,12.0,0,0,suspicious
8,8,7,1,0,0,0.875,12.631579,0.0,1,1,38.0,12.631579,0,0,suspicious
8,8,8,0,0,0,1.0,17.142857,0.0,2,1,28.0,17.142857,0,0,suspicious
9,9,9,0,0,0,1.0,13.5,0.0,3,1,40.0,13.5,0,0,suspicious
10,10,10,0,0,0,1.0,11.111111,0.0,1,1,54.0,11.111111,0,0,suspicious
12,12,11,1,0,0,0.916667,12.413793,0.0,2,1,58.0,12.413793,0,0,suspicious
12,12,12,0,0,0,1.0,16.363636,0.0,3,1,44.0,16.363636,0,0,suspicious
13,13,13,0,0,0,1.0,13.0,0.0,1,1,60.0,13.0,0,0,suspicious
14,14,14,0,0,0,1.0,10.769231,0.0,2,1,78.0,10.769231,0,0,suspicious
16,16,15,1,0,0,0.9375,12.307692,0.0,3,1,78.0,12.307692,0,0,suspicious
16,16,16,0,0,0,1.0,16.0,0.0,1,1,60.0,16.0,0,0,suspicious
6,6,6,0,0,0,1.0,14.4,0.0,2,1,25.0,14.4,0,0,suspicious
7,7,7,0,0,0,1.0,11.666667,0.0,3,1,36.0,11.666667,0,0,suspicious
9,9,8,1,0,0,0.888889,12.55814,0.0,1,1,43.0,12.55814,0,0,suspicious
9,9,9,0,0,0,1.0,16.875,0.0,2,1,32.0,16.875,0,0,suspicious
10,10,10,0,0,0,1.0,13.333333,0.0,3,1,45.0,13.333333,0,0,suspicious
11,11,11,0,0,0,1.0,11.0,0.0,1,1,60.0,11.0,0,0,suspicious
13,13,12,1,0,0,0.923077,12.380952,0.0,2,1,63.0,12.380952,0,0,suspicious
13,13,13,0,0,0,1.0,16.25,0.0,3,1,48.0,16.25,0,0,suspicious
18,16,16,0,2,2,1.0,13.333333,1.666667,4,1,72.0,15.0,0,1,malicious
18,17,17,0,1,1,1.0,14.571429,0.857143,4,1,70.0,15.428571,0,1,malicious
20,18,18,0,2,2,1.0,13.170732,1.463415,4,1,82.0,14.634146,0,1,malicious
20,19,19,0,1,1,1.0,14.25,0.75,4,1,80.0,15.0,0,1,malicious
22,20,20,0,2,2,1.0,13.043478,1.304348,4,1,92.0,14.347826,0,1,malicious
22,21,21,0,1,1,1.0,14.0,0.666667,4,1,90.0,14.666667,0,1,malicious
24,22,22,0,2,2,1.0,12.941176,1.176471,4,1,102.0,14.117647,0,1,malicious
24,23,23,0,1,1,1.0,13.8,0.6,4,1,100.0,14.4,0,1,malicious
26,24,24,0,2,2,1.0,12.857143,1.071429,4,1,112.0,13.928571,0,1,malicious
26,25,25,0,1,1,1.0,13.636364,0.545455,4,1,110.0,14.181818,0,1,malicious
28,26,26,0,2,2,1.0,12.786885,0.983607,4,1,122.0,13.770492,0,1,malicious
28,27,27,0,1,1,1.0,13.5,0.5,4,1,120.0,14.0,0,1,malicious
30,28,28,0,2,2,1.0,12.727273,0.909091,4,1,132.0,13.636364,0,1,malicious
17,16,16,0,1,1,1.0,12.307692,0.769231,4,1,78.0,13.076923,0,1,malicious
19,17,17,0,2,2,1.0,11.333333,1.333333,4,1,90.0,12.666667,0,1,malicious
19,18,18,0,1,1,1.0,12.272727,0.681818,4,1,88.0,12.954545,0,1,malicious
21,19,19,0,2,2,1.0,11.4,1.2,4,1,100.0,12.6,0,1,malicious
21,20,20,0,1,1,1.0,12.244898,0.612245,4,1,98.0,12.857143,0,1,malicious
23,21,21,0,2,2,1.0,11.454545,1.090909,4,1,110.0,12.545455,0,1,malicious
23,22,22,0,1,1,1.0,12.222222,0.555556,4,1,108.0,12.777778,0,1,malicious
25,23,23,0,2,2,1.0,11.5,1.0,4,1,120.0,12.5,0,1,malicious
25,24,24,0,1,1,1.0,12.20339,0.508475,4,1,118.0,12.711864,0,1,malicious
27,25,25,0,2,2,1.0,11.538462,0.923077,4,1,130.0,12.461538,0,1,malicious
27,26,26,0,1,1,1.0,12.1875,0.46875,4,1,128.0,12.65625,0,1,malicious
29,27,27,0,2,2,1.0,11.571429,0.857143,4,1,140.0,12.428571,0,1,malicious
29,28,28,0,1,1,1.0,12.173913,0.434783,4,1,138.0,12.608696,0,1,malicious
18,16,16,0,2,2,1.0,9.795918,1.22449,4,1,98.0,11.020408,0,1,malicious
18,17,17,0,1,1,1.0,10.625,0.625,4,1,96.0,11.25,0,1,malicious
20,18,18,0,2,2,1.0,10.0,1.111111,4,1,108.0,11.111111,0,1,malicious
20,19,19,0,1,1,1.0,10.754717,0.566038,4,1,106.0,11.320755,0,1,malicious
